id,origin,destination,count,origLat,origLon,destLat,destLon
8,Albania,Germany,0,41.32233,19.82516,52.51607,13.37699
9,Montenegro,Germany,0,42.43544,19.26391,52.51607,13.37699
26,Lithuania,Germany,0,54.69063,25.26981,52.51607,13.37699
27,Latvia,Germany,0,56.94599,24.11487,52.51607,13.37699
28,Estonia,Germany,0,59.43641,24.75254,52.51607,13.37699
30,Ukraine,Germany,0,50.45057,30.52428,52.51607,13.37699
32,Jordan,Hungary,0,31.95181,35.94042,47.49973,19.05508
35,Egypt,Hungary,0,30.04992,31.2486,47.49973,19.05508
38,Albania,Hungary,0,41.32233,19.82516,47.49973,19.05508
39,Montenegro,Hungary,0,42.43544,19.26391,47.49973,19.05508
40,Bosnia and Herzegovina,Hungary,0,43.85943,18.43577,47.49973,19.05508
41,Croatia,Hungary,0,45.80724,15.96758,47.49973,19.05508
42,Slovenia,Hungary,0,46.05063,14.50283,47.49973,19.05508
43,Slovakia,Hungary,0,48.14926,17.10699,47.49973,19.05508
45,Romania,Hungary,0,44.4343,26.10298,47.49973,19.05508
46,Czech Republic,Hungary,0,50.07913,14.43303,47.49973,19.05508
49,France,Hungary,0,48.85693,2.3412,47.49973,19.05508
50,Finland,Hungary,0,60.17116,24.93266,47.49973,19.05508
51,Sweden,Hungary,0,59.33233,18.06293,47.49973,19.05508
52,Denmark,Hungary,0,55.67567,12.56756,47.49973,19.05508
53,Norway,Hungary,0,59.9123,10.75,47.49973,19.05508
54,Spain,Hungary,0,40.42028,-3.70578,47.49973,19.05508
55,Poland,Hungary,0,52.23558,21.01027,47.49973,19.05508
56,Lithuania,Hungary,0,54.69063,25.26981,47.49973,19.05508
57,Latvia,Hungary,0,56.94599,24.11487,47.49973,19.05508
58,Estonia,Hungary,0,59.43641,24.75254,47.49973,19.05508
59,Russia,Hungary,0,55.75697,37.61502,47.49973,19.05508
60,Ukraine,Hungary,0,50.45057,30.52428,47.49973,19.05508
68,Albania,Austria,0,41.32233,19.82516,48.20255,16.3688
69,Montenegro,Austria,0,42.43544,19.26391,48.20255,16.3688
75,Romania,Austria,0,44.4343,26.10298,48.20255,16.3688
80,Finland,Austria,0,60.17116,24.93266,48.20255,16.3688
83,Norway,Austria,0,59.9123,10.75,48.20255,16.3688
84,Spain,Austria,0,40.42028,-3.70578,48.20255,16.3688
86,Lithuania,Austria,0,54.69063,25.26981,48.20255,16.3688
87,Latvia,Austria,0,56.94599,24.11487,48.20255,16.3688
88,Estonia,Austria,0,59.43641,24.75254,48.20255,16.3688
90,Ukraine,Austria,0,50.45057,30.52428,48.20255,16.3688
91,Syria,Italy,0,33.4993,36.30132,41.90323,12.49566
98,Albania,Italy,0,41.32233,19.82516,41.90323,12.49566
99,Montenegro,Italy,0,42.43544,19.26391,41.90323,12.49566
101,Croatia,Italy,0,45.80724,15.96758,41.90323,12.49566
102,Slovenia,Italy,0,46.05063,14.50283,41.90323,12.49566
103,Slovakia,Italy,0,48.14926,17.10699,41.90323,12.49566
104,Bulgaria,Italy,0,42.69719,23.32431,41.90323,12.49566
105,Romania,Italy,0,44.4343,26.10298,41.90323,12.49566
106,Czech Republic,Italy,0,50.07913,14.43303,41.90323,12.49566
112,Denmark,Italy,0,55.67567,12.56756,41.90323,12.49566
115,Poland,Italy,0,52.23558,21.01027,41.90323,12.49566
116,Lithuania,Italy,0,54.69063,25.26981,41.90323,12.49566
117,Latvia,Italy,0,56.94599,24.11487,41.90323,12.49566
118,Estonia,Italy,0,59.43641,24.75254,41.90323,12.49566
119,Russia,Italy,0,55.75697,37.61502,41.90323,12.49566
120,Ukraine,Italy,0,50.45057,30.52428,41.90323,12.49566
128,Albania,Greece,0,41.32233,19.82516,37.97613,23.73643
129,Montenegro,Greece,0,42.43544,19.26391,37.97613,23.73643
131,Croatia,Greece,0,45.80724,15.96758,37.97613,23.73643
132,Slovenia,Greece,0,46.05063,14.50283,37.97613,23.73643
133,Slovakia,Greece,0,48.14926,17.10699,37.97613,23.73643
135,Romania,Greece,0,44.4343,26.10298,37.97613,23.73643
136,Czech Republic,Greece,0,50.07913,14.43303,37.97613,23.73643
139,France,Greece,0,48.85693,2.3412,37.97613,23.73643
140,Finland,Greece,0,60.17116,24.93266,37.97613,23.73643
143,Norway,Greece,0,59.9123,10.75,37.97613,23.73643
144,Spain,Greece,0,40.42028,-3.70578,37.97613,23.73643
145,Poland,Greece,0,52.23558,21.01027,37.97613,23.73643
146,Lithuania,Greece,0,54.69063,25.26981,37.97613,23.73643
147,Latvia,Greece,0,56.94599,24.11487,37.97613,23.73643
148,Estonia,Greece,0,59.43641,24.75254,37.97613,23.73643
149,Russia,Greece,0,55.75697,37.61502,37.97613,23.73643
150,Ukraine,Greece,0,50.45057,30.52428,37.97613,23.73643
